UF;Grupo Econômico;media_ano;market_share;hhi_empresa
AC;DATORA;184,17;0,0002;0,0004
AC;NEXTEL;4,94;0,0;0,0
AC;OI;80695,14;0,1002;100,4004
AC;OUTROS;5885,24;0,0073;0,5329
AC;TELECOM AMERICAS;347934,8;0,432;1866,2399999999998
AC;TELECOM ITALIA;26242,69;0,0326;10,627599999999997
AC;TELEFONICA;344369,46;0,4276;1828,4176
AL;DATORA;711,67;0,0002;0,0004
AL;NEXTEL;27,71;0,0;0,0
AL;OI;817853,86;0,2726;743,1076
AL;OUTROS;7263,74;0,0024;0,05759999999999999
AL;TELECOM AMERICAS;760350,96;0,2534;642,1156
AL;TELECOM ITALIA;926333,94;0,3087;952,9568999999999
AL;TELEFONICA;488015,34;0,1626;264,38759999999996
AM;DATORA;540,42;0,0001;0,0001
AM;NEXTEL;39,76;0,0;0,0
AM;OI;523039,49;0,1303;169,7809
AM;OUTROS;12818,74;0,0032;0,1024
AM;TELECOM AMERICAS;1312559,85;0,327;1069,2900000000002
AM;TELECOM ITALIA;351621,18;0,0876;76,7376
AM;TELEFONICA;1813817,0;0,4518;2041,2323999999999
AP;NEXTEL;8,07;0,0;0,0
AP;OI;140272,66;0,1794;321,84360000000004
AP;OUTROS;7033,42;0,009;0,8099999999999999
AP;TELECOM AMERICAS;193831,8;0,2479;614,5441000000001
AP;TELECOM ITALIA;118114,7;0,151;228,01
AP;TELEFONICA;322779,36;0,4127;1703,2129000000002
BA;DATORA;7320,93;0,0005;0,0025
BA;NEXTEL;119,67;0,0;0,0
BA;OI;3906404,95;0,2685;720,9225000000001
BA;OUTROS;62761,46;0,0043;0,1849
BA;TELECOM AMERICAS;3245706,35;0,2231;497,73609999999996
BA;TELECOM ITALIA;2595850,44;0,1784;318,26560000000006
BA;TELEFONICA;4731235,76;0,3252;1057,5503999999999
CE;DATORA;10738,51;0,0011;0,012100000000000001
CE;NEXTEL;46,06;0,0;0,0
CE;OI;2958500,94;0,3134;982,1956000000001
CE;OUTROS;22415,15;0,0024;0,05759999999999999
CE;TELECOM AMERICAS;2630159,24;0,2786;776,1796000000002
CE;TELECOM ITALIA;2652737,27;0,281;789,6100000000001
CE;TELEFONICA;1165674,15;0,1235;152,5225
DF;DATORA;26158,34;0,0066;0,4356
DF;NEXTEL;175,91;0,0;0,0
DF;OI;484354,6;0,1221;149,0841
DF;OUTROS;21229,83;0,0054;0,2916
DF;TELECOM AMERICAS;1678670,64;0,4231;1790,1361
DF;TELECOM ITALIA;698154,8;0,176;309,76
DF;TELEFONICA;1058699,94;0,2668;711,8223999999999
ES;DATORA;150,0;0,0;0,0
ES;NEXTEL;81,13;0,0;0,0
ES;OI;553884,65;0,127;161,29000000000002
ES;OUTROS;14013,88;0,0032;0,1024
ES;TELECOM AMERICAS;537570,97;0,1232;151,7824
ES;TELECOM ITALIA;192940,42;0,0442;19,536400000000004
ES;TELEFONICA;3063416,72;0,7023;4932,2529
GO;ALGAR (CTBC TELECOM);49982,15;0,0063;0,39690000000000003
GO;DATORA;24302,33;0,0031;0,09609999999999999
GO;NEXTEL;118,21;0,0;0,0
GO;OI;1329966,43;0,1682;282,91239999999993
GO;OUTROS;15749,19;0,002;0,04
GO;TELECOM AMERICAS;3168443,56;0,4008;1606,4064
GO;TELECOM ITALIA;1001335,69;0,1267;160,5289
GO;TELEFONICA;2315058,08;0,2929;857,9041
MA;DATORA;1003,84;0,0002;0,0004
MA;NEXTEL;25,71;0,0;0,0
MA;OI;1595312,96;0,2678;717,1683999999999
MA;OUTROS;23235,22;0,0039;0,15209999999999999
MA;TELECOM AMERICAS;2248460,28;0,3775;1425,0625
MA;TELECOM ITALIA;903622,81;0,1517;230,12890000000002
MA;TELEFONICA;1184348,3;0,1988;395,21440000000007
MG;ALGAR (CTBC TELECOM);1069216,08;0,0457;20,8849
MG;DATORA;118004,42;0,005;0,25
MG;NEXTEL;309,49;0,0;0,0
MG;OI;4577063,08;0,1955;382,20250000000004
MG;OUTROS;73258,66;0,0031;0,09609999999999999
MG;TELECOM AMERICAS;2884451,31;0,1232;151,7824
MG;TELECOM ITALIA;3904678,1;0,1667;277,8889
MG;TELEFONICA;10790825,77;0,4608;2123,3664
MS;ALGAR (CTBC TELECOM);14938,15;0,0051;0,26010000000000005
MS;NEXTEL;40,9;0,0;0,0
MS;OI;233890,88;0,0791;62,56810000000001
MS;OUTROS;10018,79;0,0034;0,1156
MS;TELECOM AMERICAS;1033779,79;0,3495;1221,5024999999998
MS;TELECOM ITALIA;271116,61;0,0917;84,08890000000001
MS;TELEFONICA;1393734,66;0,4713;2221,2369
MT;DATORA;75,0;0,0;0,0
MT;NEXTEL;32,5;0,0;0,0
MT;OI;565112,25;0,1439;207,0721
MT;OUTROS;13731,32;0,0035;0,12250000000000001
MT;TELECOM AMERICAS;1096504,77;0,2792;779,5264000000001
MT;TELECOM ITALIA;250569,65;0,0638;40,7044
MT;TELEFONICA;2000584,76;0,5095;2595,9024999999997
PA;DATORA;2157,68;0,0003;0,0008999999999999999
PA;NEXTEL;39,65;0,0;0,0
PA;OI;1324299,73;0,1718;295,1524
PA;OUTROS;19579,23;0,0025;0,0625
PA;TELECOM AMERICAS;1846640,8;0,2395;573,6025
PA;TELECOM ITALIA;1524216,28;0,1977;390,8528999999999
PA;TELEFONICA;2993024,8;0,3882;1506,9923999999999
PB;DATORA;1561,34;0,0004;0,0016
PB;NEXTEL;26,7;0,0;0,0
PB;OI;1465831,96;0,3566;1271,6355999999998
PB;OUTROS;7872,15;0,0019;0,0361
PB;TELECOM AMERICAS;891900,85;0,217;470,89
PB;TELECOM ITALIA;1218789,2;0,2965;879,1225
PB;TELEFONICA;524508,17;0,1276;162,8176
PE;DATORA;4917,1;0,0005;0,0025
PE;NEXTEL;69,29;0,0;0,0
PE;OI;3224651,44;0,3287;1080,4369
PE;OUTROS;17339,97;0,0018;0,0324
PE;TELECOM AMERICAS;2699494,65;0,2751;756,8001
PE;TELECOM ITALIA;2574179,24;0,2624;688,5376000000001
PE;TELEFONICA;1290766,53;0,1316;173,1856
PI;DATORA;306,5;0,0001;0,0001
PI;NEXTEL;23,59;0,0;0,0
PI;OI;525147,32;0,1673;279,8929
PI;OUTROS;12066,14;0,0038;0,1444
PI;TELECOM AMERICAS;1222879,23;0,3895;1517,1025000000002
PI;TELECOM ITALIA;725858,89;0,2312;534,5344
PI;TELEFONICA;653283,05;0,2081;433,0561
PR;DATORA;23762,43;0,0018;0,0324
PR;LIGGA TELECOM;46768,85;0,0036;0,1296
PR;NEXTEL;186,18;0,0;0,0
PR;OI;1221376,22;0,0943;88,9249
PR;OUTROS;89368,45;0,0069;0,4761
PR;TELECOM AMERICAS;2214864,21;0,1711;292,7521
PR;TELECOM ITALIA;6955046,27;0,5372;2885,8384000000005
PR;TELEFONICA;2394287,11;0,1849;341,8801
RJ;DATORA;92772,83;0,0046;0,2116
RJ;NEXTEL;90306,25;0,0045;0,20249999999999999
RJ;OI;2722797,59;0,136;184,96
RJ;OUTROS;102199,26;0,0051;0,26010000000000005
RJ;TELECOM AMERICAS;7010757,28;0,3502;1226,4004
RJ;TELECOM ITALIA;3932675,34;0,1964;385,72959999999995
RJ;TELEFONICA;6068019,74;0,3031;918,6960999999999
RN;DATORA;648,0;0,0002;0,0004
RN;NEXTEL;20,97;0,0;0,0
RN;OI;1055238,55;0,3095;957,9024999999999
RN;OUTROS;5972,83;0,0018;0,0324
RN;TELECOM AMERICAS;849013,38;0,249;620,01
RN;TELECOM ITALIA;1177197,97;0,3452;1191,6304
RN;TELEFONICA;321705,65;0,0943;88,9249
RO;DATORA;122,5;0,0001;0,0001
RO;NEXTEL;12,1;0,0;0,0
RO;OI;313753,23;0,1812;328,33439999999996
RO;OUTROS;6696,35;0,0039;0,15209999999999999
RO;TELECOM AMERICAS;946780,37;0,5469;2990,9961000000008
RO;TELECOM ITALIA;104912,54;0,0606;36,7236
RO;TELEFONICA;359004,1;0,2074;430,1476
RR;DATORA;78,33;0,0001;0,0001
RR;NEXTEL;2,75;0,0;0,0
RR;OI;33391,25;0,0593;35,164899999999996
RR;OUTROS;4743,26;0,0084;0,7055999999999999
RR;TELECOM AMERICAS;135452,47;0,2406;578,8836000000001
RR;TELECOM ITALIA;77607,02;0,1379;190,16409999999996
RR;TELEFONICA;311667,03;0,5536;3064,7295999999997
RS;DATORA;35881,91;0,0027;0,0729
RS;NEXTEL;141,13;0,0;0,0
RS;OI;1584932,75;0,1199;143,76010000000002
RS;OUTROS;31351,31;0,0024;0,05759999999999999
RS;TELECOM AMERICAS;4564694,25;0,3453;1192,3209
RS;TELECOM ITALIA;969558,33;0,0734;53,87560000000001
RS;TELEFONICA;6031317,27;0,4563;2082,0968999999996
SC;DATORA;8648,09;0,001;0,01
SC;NEXTEL;138,13;0,0;0,0
SC;OI;724335,74;0,0876;76,7376
SC;OUTROS;51544,44;0,0062;0,38439999999999996
SC;TELECOM AMERICAS;1414623,65;0,1711;292,7521
SC;TELECOM ITALIA;3801195,19;0,4598;2114,1604
SC;TELEFONICA;2267302,49;0,2742;751,8564
SE;DATORA;354,16;0,0002;0,0004
SE;NEXTEL;16,34;0,0;0,0
SE;OI;473140,27;0,2113;446,47689999999994
SE;OUTROS;7184,18;0,0032;0,1024
SE;TELECOM AMERICAS;194459,84;0,0869;75,51610000000001
SE;TELECOM ITALIA;159544,37;0,0713;50,8369
SE;TELEFONICA;1404242,05;0,6272;3933,7983999999997
SP;ALGAR (CTBC TELECOM);1903538,92;0,0264;6,9696
SP;DATORA;609433,92;0,0085;0,7225
SP;NEXTEL;142891,16;0,002;0,04
SP;OI;7072259,26;0,0981;96,23610000000001
SP;OUTROS;544883,72;0,0076;0,5776
SP;TELECOM AMERICAS;21576547,2;0,2993;895,8049000000001
SP;TELECOM ITALIA;14524307,98;0,2015;406,02250000000004
SP;TELEFONICA;25717056,57;0,3567;1272,3489000000002
TO;DATORA;204,17;0,0001;0,0001
TO;NEXTEL;10,8;0,0;0,0
TO;OI;366428,85;0,2351;552,7201
TO;OUTROS;5911,48;0,0038;0,1444
TO;TELECOM AMERICAS;869696,04;0,5581;3114,7561000000005
TO;TELECOM ITALIA;78536,51;0,0504;25,401600000000002
TO;TELEFONICA;237535,29;0,1524;232,25760000000002
